id,place_name,city,state,zone,place_type,category,significance,rating,review_count_lakhs,entrance_fee_inr,visit_duration_hrs,airport_nearby,dslr_allowed,weekly_off,best_time_of_day,established_year,latitude,longitude,interest_tags,adventure_score,culture_score,nature_score,relaxation_score,food_social_score
199,Vaishno Devi,Jammu,Jammu and Kashmir,Northern,Temple,Religious,Religious,4.7,0.55,0,5.0,Yes,No,,All,Unknown,33.0308295,74.9490416,Religious & Spiritual Pilgrimages,0,5,0,0,0
200,Patnitop Height,Udhampur,Jammu and Kashmir,Northern,Hill,Leisure,Recreational,4.1,0.01,0,2.0,No,Yes,,All,Unknown,,,,0,0,0,2,5
201,Amarnath Cave,Anantnag,Jammu and Kashmir,Northern,Temple,Religious,Religious,4.5,0.11,0,6.0,No,Yes,,All,Unknown,,,,0,5,0,0,0
202,Thiksey Monastery,Leh,Ladakh,Northern,Monastery,Religious,Religious,4.7,0.05,20,1.5,Yes,No,,All,1430,34.0559137,77.6677625,Religious & Spiritual Pilgrimages,0,5,0,0,0
203,Nubra Valley,Nubra Valley,Ladakh,Northern,Valley,Nature,Nature,4.5,0.1,0,2.0,No,Yes,,All,Unknown,34.6863146,77.567288,Natural Landscapes & Wildlife,3,0,7,0,0
204,Kargil War Memorial,Kargil,Ladakh,Northern,War Memorial,Heritage,Historical,4.8,0.011,0,1.0,No,Yes,,All,24,34.4340036,75.8076814,Cultural & Heritage Sites,0,7,0,0,0
205,Diskit Monastery,Diskit,Ladakh,Northern,Monastery,Religious,Religious,4.7,0.015,20,1.0,No,No,,Morning,1351,34.5409579,77.5606881,Religious & Spiritual Pilgrimages,0,5,0,0,0
206,Kishtwar National Park,Kishtwar,Jammu and Kashmir,Northern,National Park,Wildlife,Wildlife,4.3,0.01,100,3.0,No,Yes,,All,1981,,,,3,0,10,5,0
207,Hemis National Park,Hemis,Ladakh,Northern,National Park,Wildlife,Wildlife,4.4,0.02,20,4.0,No,Yes,,All,1981,33.7187211,77.3882224,Natural Landscapes & Wildlife,3,0,10,5,0
208,Dras War Memorial,Dras,Ladakh,Northern,War Memorial,Heritage,Historical,4.8,0.012,0,1.0,No,Yes,,All,Unknown,,,,0,7,0,0,0
209,Magnetic Hill,Leh,Ladakh,Northern,Gravity Hill,Nature,Nature,3.7,0.1,0,0.5,Yes,Yes,,All,Unknown,46.134658,-64.888516,Natural Landscapes & Wildlife,3,0,7,0,0
210,Khardung La Pass,Leh,Ladakh,Northern,Hill,Adventure,Adventure,4.5,0.05,0,1.0,Yes,Yes,,Afternoon,Unknown,,,,7,0,0,0,0
211,Prem Mandir,Vrindavan,Uttar Pradesh,Central,Temple,Religious,Religious,4.8,0.49,0,1.5,Yes,Yes,,Evening,2012,27.5718524,77.6720096,Religious & Spiritual Pilgrimages,0,5,0,0,0
212,Kirti Mandir,Porbandar,Uttar Pradesh,Central,Memorial,Heritage,Historical,4.8,0.03,0,1.0,Yes,Yes,,Morning,1950,,,,0,7,0,0,0
213,Nand Gaon,Mathura,Uttar Pradesh,Central,Village,Culture,Cultural,4.1,0.01,0,1.0,Yes,Yes,,Morning,Unknown,,,,0,7,0,0,0
214,Barsana Mandir,Mathura,Uttar Pradesh,Central,Temple,Religious,Religious,4.8,0.1,0,1.0,Yes,Yes,,Morning,Unknown,,,,0,5,0,0,0
215,Tiger Hill,Darjeeling,West Bengal,Eastern,Sunrise Point,Nature,Nature,4.5,0.025,0,1.0,No,Yes,,All,Unknown,26.9966667,88.2944444,Natural Landscapes & Wildlife,3,0,7,0,0
216,Jaldapara National Park,Siliguri,West Bengal,Eastern,Wildlife Sanctuary,Wildlife,Wildlife,4.4,0.035,250,3.0,Yes,Yes,,All,1941,26.6905136,89.2805351,Natural Landscapes & Wildlife,3,0,7,0,0
217,Sundarbans National Park,Sundarbans,West Bengal,Eastern,National Park,Wildlife,Wildlife,4.4,0.065,60,4.0,No,Yes,,All,1984,21.8842354,88.8853765,Natural Landscapes & Wildlife,3,0,10,5,0
218,Digha Beach,Digha,West Bengal,Eastern,Beach,Leisure,Recreational,4.5,0.09,0,1.5,No,Yes,,Morning,Unknown,,,,0,0,0,7,5
219,Hazarduari Palace,Murshidabad,West Bengal,Eastern,Palace,Heritage,Historical,4.5,0.18,10,1.5,Yes,Yes,Friday,Morning,1837,24.1863376,88.2876731,Cultural & Heritage Sites,0,7,0,0,0
220,Kankalitala Temple,Bolpur,West Bengal,Eastern,Temple,Religious,Religious,4.7,0.045,0,0.5,Yes,No,,All,Unknown,,,,0,5,0,0,0
221,Hangseswari Temple,Hooghly,West Bengal,Eastern,Temple,Heritage,Architectural,4.6,0.07,0,0.5,Yes,No,,All,1814,,,,0,2,0,0,0
222,Gorumara National Park,Jalpaiguri,West Bengal,Eastern,National Park,Wildlife,Wildlife,4.4,0.07,100,3.0,Yes,Yes,,All,1949,,,,3,0,10,5,0
223,Cooch Behar Palace,Cooch Behar,West Bengal,Eastern,Palace,Heritage,Historical,4.5,0.09,20,1.0,Yes,Yes,Friday,All,1887,,,,0,7,0,0,0
224,Ayodhya Hills,Purulia,West Bengal,Eastern,Hill,Nature,Nature,4.5,0.15,0,2.5,No,Yes,,All,Unknown,,,,3,0,7,0,0
225,Jagannath Temple,Puri,Odisha,Eastern,Temple,Religious,Religious,4.7,1.0,0,2.0,Yes,No,,All,12th century,19.8049379,88.2801785,Religious & Spiritual Pilgrimages,0,5,0,0,0
226,Sun Temple,Konark,Odisha,Eastern,Temple,Heritage,Historical,4.7,0.83,40,1.5,Yes,Yes,,All,1250,,,,0,7,0,0,0
227,Lingaraj Temple,Bhubaneswar,Odisha,Eastern,Temple,Religious,Religious,4.6,0.35,0,1.0,Yes,No,,All,11th century,20.2384519,86.091184,"Cultural & Heritage Sites, Religious & Spiritual Pilgrimages",0,10,0,0,0
228,Khandadhar Waterfall,Rourkela,Odisha,Eastern,Waterfall,Nature,Nature,4.5,1.2,0,1.5,No,Yes,,All,Unknown,22.260423,84.8315341,"Natural Landscapes & Wildlife, Adventure & Outdoor Activities",8,0,7,3,0
229,Barabati Fort,Cuttack,Odisha,Eastern,Fort,Heritage,Historical,4.5,0.13,0,1.0,Yes,Yes,,All,-987,20.4845311,85.8829895,Cultural & Heritage Sites,0,7,0,0,0
230,Hirakud Dam,Sambalpur,Odisha,Eastern,Dam,Heritage,Engineering Marvel,4.5,0.01,0,1.0,No,Yes,,All,1957,21.5305898,85.8651767,Natural Landscapes & Wildlife,3,2,5,0,0
231,Chilika Lake,Chilika,Odisha,Eastern,Lake,Nature,Nature,3.9,0.1,0,2.0,Yes,Yes,,Morning,Unknown,19.8449627,85.8257455,Natural Landscapes & Wildlife,3,0,7,3,0
232,Tara Tarini Temple,Berhampur,Odisha,Eastern,Temple,Religious,Religious,4.6,0.01,0,1.0,Yes,No,,All,Ancient,19.3149618,84.7940911,Religious & Spiritual Pilgrimages,0,5,0,0,0
233,Badaghagara Waterfall,Keonjhar,Odisha,Eastern,Waterfall,Nature,Nature,4.3,0.018,0,1.0,No,Yes,,Morning,Unknown,,,,3,0,7,3,0
234,Chandipur Beach,Balasore,Odisha,Eastern,Beach,Leisure,Recreational,4.2,0.014,0,1.5,Yes,Yes,,Morning,Unknown,21.4518786,86.7301665,"Natural Landscapes & Wildlife, Adventure & Outdoor Activities",8,0,5,7,5
235,Sanaghagara Waterfall,Kendujhar,Odisha,Eastern,Waterfall,Nature,Nature,4.4,0.055,0,1.0,No,Yes,,All,Unknown,21.632772,85.7692277,"Natural Landscapes & Wildlife, Adventure & Outdoor Activities",8,0,7,3,0
236,Marina Beach,Chennai,Tamil Nadu,Southern,Beach,Leisure,Recreational,3.9,0.1,0,1.5,Yes,Yes,,Morning,Unknown,13.0499526,87.0406081,"Natural Landscapes & Wildlife, Adventure & Outdoor Activities",8,0,5,7,5
237,Meenakshi Amman Temple,Madurai,Tamil Nadu,Southern,Temple,Religious,Religious,4.7,0.65,0,2.0,Yes,No,,All,6th century AD,9.9201457,78.1253966,Religious & Spiritual Pilgrimages,0,5,0,0,0
238,Ramanathaswamy Temple,Rameswaram,Tamil Nadu,Southern,Temple,Religious,Religious,4.6,0.01,0,1.5,No,No,,All,12th century,9.2331475,79.3213819,Religious & Spiritual Pilgrimages,0,5,0,0,0
239,Vivekananda Rock Memorial,Kanyakumari,Tamil Nadu,Southern,Memorial,Heritage,Historical,4.6,0.47,20,1.0,Yes,No,,Morning,1970,9.2881136,79.3480474,Cultural & Heritage Sites,0,7,0,0,0
240,Ooty Lake,Ooty,Tamil Nadu,Southern,Lake,Leisure,Recreational,4.1,0.61,10,1.0,Yes,Yes,,Morning,1824,8.0793037,77.4385005,"Sightseeing & Exploration, Natural Landscapes & Wildlife",3,0,5,5,5
241,Marudamalai Temple,Coimbatore,Tamil Nadu,Southern,Temple,Religious,Religious,4.7,0.3,0,1.0,Yes,No,,All,12th century,11.4102038,77.5509774,Religious & Spiritual Pilgrimages,0,5,0,0,0
242,Kodaikanal Lake,Kodaikanal,Tamil Nadu,Southern,Lake,Leisure,Recreational,3.9,0.1,0,2.0,No,Yes,,Morning,1863,11.0168445,77.0032888,Sightseeing & Exploration,0,0,0,5,5
243,Brihadeeswarar Temple,Thanjavur,Tamil Nadu,Southern,Temple,Religious,Religious,4.8,0.35,0,1.5,Yes,No,,All,110,10.2391086,77.4854759,Religious & Spiritual Pilgrimages,0,5,0,0,0
244,Shore Temple,Mahabalipuram,Tamil Nadu,Southern,Temple,Heritage,Historical,4.6,0.09,40,1.0,Yes,No,,All,7th century,12.6164515,79.1376311,Religious & Spiritual Pilgrimages,0,10,0,0,0
245,Yercaud Lake,Yercaud,Tamil Nadu,Southern,Lake,Leisure,Recreational,4.2,0.019,0,1.0,No,Yes,,Morning,Unknown,11.7841423,78.2102296,Sightseeing & Exploration,0,0,0,5,5
246,Nellaiappar Temple,Tirunelveli,Tamil Nadu,Southern,Temple,Religious,Religious,4.6,0.16,0,1.0,Yes,No,,All,7th century,,,,0,5,0,0,0
247,Nataraja Temple,Chidambaram,Tamil Nadu,Southern,Temple,Religious,Religious,4.7,0.28,0,1.0,Yes,No,,All,10th century,,,,0,5,0,0,0
248,Kanaka Durga Temple,Vijayawada,Andhra Pradesh,Southern,Temple,Religious,Religious,4.7,0.44,0,1.0,Yes,No,,All,Unknown,16.5154055,80.605864,Religious & Spiritual Pilgrimages,0,5,0,0,0
249,Rishikonda Beach,Visakhapatnam,Andhra Pradesh,Southern,Beach,Leisure,Recreational,4.5,0.39,0,1.5,Yes,Yes,,Morning,Unknown,17.7825201,83.3851154,"Adventure & Outdoor Activities, Natural Landscapes & Wildlife",8,0,5,7,5
250,Mallikarjuna Swamy Temple,Srisailam,Andhra Pradesh,Southern,Temple,Religious,Religious,4.7,0.49,0,1.0,No,No,,All,14th century,15.9128998,79.7399875,Religious & Spiritual Pilgrimages,0,5,0,0,0
251,Papikondalu,Rajahmundry,Andhra Pradesh,Southern,Hill,Nature,Nature,4.3,0.032,0,2.0,Yes,Yes,,All,Unknown,,,,3,0,7,0,0
252,Lepakshi,Anantapur,Andhra Pradesh,Southern,Site,Heritage,Historical,4.6,0.075,0,1.5,No,Yes,,All,16th century,,,,0,7,0,0,0
253,Belum Caves,Kurnool,Andhra Pradesh,Southern,Cave,Nature,Natural Wonder,4.4,0.11,65,1.5,Yes,Yes,,Afternoon,Unknown,15.1025794,78.1115072,Natural Landscapes & Wildlife,3,0,7,0,0
254,Amaravathi Temple,Amravati,Andhra Pradesh,Southern,Temple,Religious,Religious,4.7,0.041,0,1.0,Yes,No,,All,Unknown,,,,0,5,0,0,0
255,Uppalapadu Bird Sanctuary,Guntur,Andhra Pradesh,Southern,Bird Sanctuary,Wildlife,Wildlife,4.4,0.7,10,1.0,Yes,Yes,,All,Unknown,,,,3,0,7,0,0
256,Gandikota Fort,Kadapa,Andhra Pradesh,Southern,Fort,Heritage,Historical,4.5,0.015,0,1.5,No,Yes,,Morning,12th century,,,,0,7,0,0,0
257,Prasanthi Nilayam,Puttaparthi,Andhra Pradesh,Southern,Spiritual Center,Religious,Religious,4.7,0.12,0,1.0,Yes,Yes,,All,1950,,,,0,5,0,0,0
258,Simhachalam Temple,Vizianagaram,Andhra Pradesh,Southern,Temple,Religious,Religious,4.7,0.59,0,1.0,Yes,No,,All,198,,,,0,5,0,0,0
259,Kailasagiri,Visakhapatnam,Andhra Pradesh,Southern,Hill,Leisure,Recreational,4.5,0.019,0,2.0,Yes,Yes,,All,Unknown,17.7492105,83.3418016,"Adventure & Outdoor Activities, Natural Landscapes & Wildlife",8,0,5,2,5
260,Submarine Museum,Visakhapatnam,Andhra Pradesh,Southern,Museum,Heritage,Historical,4.6,0.49,40,1.0,Yes,Yes,,All,22,15.9128998,79.7399875,Sightseeing & Exploration,0,7,0,0,0
261,Borra Caves,Visakhapatnam,Andhra Pradesh,Southern,Cave,Nature,Natural Wonder,4.5,0.31,60,2.0,No,Yes,,Afternoon,Unknown,18.2806929,83.0396992,"Adventure & Outdoor Activities, Natural Landscapes & Wildlife",8,0,7,0,0
262,War Memorial,Visakhapatnam,Andhra Pradesh,Southern,War Memorial,Heritage,Historical,4.6,0.059,0,1.0,Yes,Yes,,All,Unknown,15.9128998,79.7399875,Adventure & Outdoor Activities,5,7,0,0,0
263,Indira Gandhi Zoological Park,Visakhapatnam,Andhra Pradesh,Southern,Zoo,Wildlife,Wildlife,4.1,0.25,20,2.0,Yes,Yes,Monday,Afternoon,1977,17.765657,83.3488338,"Sightseeing & Exploration, Natural Landscapes & Wildlife",3,0,7,0,0
264,Matsyadarshini Aquarium,Visakhapatnam,Andhra Pradesh,Southern,Aquarium,Leisure,Recreational,3.8,0.03,20,1.0,Yes,Yes,,All,Unknown,15.9128998,79.7399875,Sightseeing & Exploration,0,0,0,2,5
265,Visakha Museum,Visakhapatnam,Andhra Pradesh,Southern,Museum,Culture,Cultural,4.3,0.065,10,1.0,Yes,Yes,,All,1991,17.7205813,83.3345285,"Arts, Science & Literature Attractions, Sightseeing & Exploration",0,7,0,0,0
266,Nathula Pass,Gangtok,Sikkim,Eastern,Hill,Heritage,Historical,4.3,0.15,20,2.0,Yes,Yes,,Afternoon,Unknown,27.3865684,88.8308731,"Sightseeing & Exploration, Natural Landscapes & Wildlife",3,7,5,0,0
267,Pemayangtse Monastery,Pelling,Sikkim,Eastern,Monastery,Religious,Religious,4.6,0.015,20,1.0,No,No,,Morning,1705,27.303354,88.253716,Cultural & Heritage Sites,0,10,0,0,0
268,Char Dham,Namchi,Sikkim,Eastern,Religious Complex,Religious,Religious,4.7,0.12,50,2.0,Yes,No,,All,211,27.3516407,88.3239309,Religious & Spiritual Pilgrimages,0,5,0,0,0
269,Rumtek Monastery,Gangtok,Sikkim,Eastern,Monastery,Religious,Religious,4.6,0.035,10,1.0,Yes,No,,Morning,1960s,27.3059105,88.5362892,Religious & Spiritual Pilgrimages,0,5,0,0,0
270,Buddha Park,Ravangla,Sikkim,Eastern,Park,Culture,Cultural,4.8,0.1,50,1.0,Yes,Yes,,All,213,27.3143623,88.3632705,"Arts, Science & Literature Attractions",0,7,3,5,0
271,Baba Harbhajan Singh Temple,Gangtok,Sikkim,Eastern,Temple,Religious,Religious,4.7,0.075,0,1.0,Yes,No,,All,1967,,,,0,5,0,0,0
272,Tsomgo Lake,Gangtok,Sikkim,Eastern,Lake,Nature,Nature,4.5,0.15,0,2.0,Yes,Yes,,Morning,Unknown,,,,3,0,7,3,0
273,Kamakhya Temple,Guwahati,Assam,North Eastern,Temple,Religious,Religious,4.6,0.21,0,2.0,Yes,No,,All,Unknown,26.1664108,91.7055031,Religious & Spiritual Pilgrimages,0,5,0,0,0
274,Kaziranga National Park,Kaziranga,Assam,North Eastern,National Park,Wildlife,Wildlife,4.5,0.068,650,3.0,No,No,,Morning,1905,26.6445044,93.3524858,Natural Landscapes & Wildlife,3,0,10,5,0
275,Umananda Island,Guwahati,Assam,North Eastern,Island,Nature,Nature,4.1,0.01,0,1.0,Yes,Yes,,Morning,Unknown,26.1964922,91.7449079,Natural Landscapes & Wildlife,3,0,7,0,0
276,Sivasagar Sivadol,Sivasagar,Assam,North Eastern,Temple,Heritage,Historical,4.7,0.065,0,1.0,No,Yes,,All,1734,,,,0,7,0,0,0
277,Majuli Island,Majuli,Assam,North Eastern,River Island,Culture,Cultural,4.7,0.01,0,2.0,No,Yes,,Morning,Unknown,,,,0,7,0,0,0
278,Manas National Park,Manas,Assam,North Eastern,National Park,Wildlife,Wildlife,4.6,0.19,500,3.0,No,Yes,,Morning,1990,26.8101743,91.2394832,"Natural Landscapes & Wildlife, Sightseeing & Exploration",3,0,10,5,0
279,Hayagriva Madhava Temple,Hajo,Assam,North Eastern,Temple,Religious,Religious,4.5,0.9,0,1.0,No,Yes,,All,Unknown,,,,0,5,0,0,0
280,Pobitora Wildlife Sanctuary,Guwahati,Assam,North Eastern,Wildlife Sanctuary,Wildlife,Wildlife,4.4,0.037,500,2.0,Yes,Yes,,All,1987,26.2307847,92.0550609,Natural Landscapes & Wildlife,3,0,7,0,0
281,Tawang Monastery,Tawang,Arunachal Pradesh,North Eastern,Monastery,Religious,Religious,4.7,0.032,0,2.0,No,No,,Morning,1680,27.5867261,91.8577194,"Cultural & Heritage Sites, Religious & Spiritual Pilgrimages",0,10,0,0,0
282,Ujjayanta Palace,Agartala,Tripura,North Eastern,Palace,Heritage,Historical,4.5,0.035,10,1.5,Yes,Yes,Monday,All,1901,23.8373503,91.2827128,Cultural & Heritage Sites,0,7,0,0,0
283,Dumboor Lake,Dumboor,Tripura,North Eastern,Lake,Nature,Nature,4.5,0.01,0,1.0,No,Yes,,Morning,Unknown,,,,3,0,7,3,0
284,Unakoti Rock Carvings,Unakoti,Tripura,North Eastern,Rock Carvings,Heritage,Historical,4.5,0.025,20,1.5,No,Yes,,Morning,700,,,,0,7,0,0,0
285,Chitrakote Falls,Bastar,Chhattisgarh,Central,Waterfall,Nature,Nature,4.6,0.19,0,1.5,No,Yes,,Morning,Unknown,19.2071733,81.7000604,Natural Landscapes & Wildlife,3,0,7,3,0
286,DzÃ¼kou Valley,DzÃ¼kou Valley,Nagaland,North Eastern,Valley,Adventure,Trekking,4.7,0.01,0,3.0,No,Yes,,Afternoon,Unknown,,,,7,0,0,0,0
287,Promenade Beach,Puducherry,Puducherry,Southern,Beach,Leisure,Recreational,4.5,0.09,0,1.0,Yes,Yes,,Morning,Unknown,11.9312773,79.8358019,Natural Landscapes & Wildlife,3,0,5,7,5
288,Auroville,Auroville,Puducherry,Southern,Township,Culture,Cultural,4.1,0.035,0,2.0,Yes,Yes,,All,1968,12.0052483,79.8068922,Cultural & Heritage Sites,0,7,0,0,0
289,Paradise Beach,Puducherry,Puducherry,Southern,Beach,Leisure,Recreational,4.5,0.015,200,1.0,Yes,Yes,,Morning,Unknown,,,,0,0,0,7,5
290,Cellular Jail,Port Blair,Andaman and Nicobar Islands,Southern,Landmark,Heritage,Historical,4.7,0.12,30,1.5,Yes,Yes,Monday,Afternoon,1906,,,,0,7,0,0,0
291,Radhanagar Beach,Havelock Island,Andaman and Nicobar Islands,Southern,Beach,Nature,Nature,4.8,0.09,0,1.0,No,Yes,,Morning,Unknown,11.9844552,92.9508454,Natural Landscapes & Wildlife,3,0,7,5,0
292,Bharatpur Beach,Neil Island,Andaman and Nicobar Islands,Southern,Beach,Nature,Nature,4.5,0.04,0,1.0,No,Yes,,Morning,Unknown,11.8358457,93.0451011,Natural Landscapes & Wildlife,3,0,7,5,0
293,Limestone Caves,Baratang Island,Andaman and Nicobar Islands,Southern,Natural Feature,Nature,Nature,4.4,0.015,250,1.5,No,Yes,,Morning,Unknown,10.7448873,92.4999918,Natural Landscapes & Wildlife,3,0,7,0,0
294,Naida Caves,Diu,Daman and Diu,Western,Cave,Nature,Nature,4.5,0.6,0,1.0,No,Yes,,Afternoon,Unknown,20.7102563,70.980716,Natural Landscapes & Wildlife,3,0,7,0,0
295,Diu Fort,Diu,Daman and Diu,Western,Fort,Heritage,Historical,4.6,1.2,0,1.5,No,Yes,,Afternoon,1535,20.7186887,70.9876739,Cultural & Heritage Sites,0,7,0,0,0
296,Baba Baidyanath Temple,Deoghar,Jharkhand,Eastern,Temple,Religious,Religious,4.7,1.8,0,1.0,Yes,Yes,,All,Unknown,24.4927645,86.7005212,Religious & Spiritual Pilgrimages,0,5,0,0,0
297,Pahari Mandir,Ranchi,Jharkhand,Eastern,Temple,Religious,Religious,4.6,0.13,0,1.0,Yes,Yes,,All,Unknown,23.3754286,85.31075,Religious & Spiritual Pilgrimages,0,5,0,0,0
298,Mahabodhi Temple,Bodh Gaya,Bihar,Eastern,Temple,Religious,Religious,4.7,0.2,0,1.5,Yes,Yes,,All,-260,24.6959222,84.9914193,Religious & Spiritual Pilgrimages,0,5,0,0,0
299,Sanjay Gandhi Biological Park,Patna,Bihar,Eastern,Zoo,Wildlife,Wildlife,4.3,0.5,30,2.5,Yes,Yes,,All,Unknown,25.5997345,85.0971767,Natural Landscapes & Wildlife,3,0,7,0,0
300,Takhat Shri Harimandir Ji Patna Sahib,Patna,Bihar,Eastern,Gurudwara,Religious,Religious,4.7,0.25,0,1.0,Yes,Yes,,All,Unknown,25.5960503,85.2299561,Religious & Spiritual Pilgrimages,0,5,0,0,0
301,Budhha Smriti Park,Patna,Bihar,Eastern,Park,Culture,Cultural,4.4,0.31,10,1.0,Yes,Yes,,All,Unknown,25.6067139,85.1361502,Sightseeing & Exploration,0,7,3,5,0
302,Kingdom of Dreams,Gurugram,Haryana,Northern,Entertainment,Leisure,Entertainment,4.4,0.3,1100,3.0,Yes,Yes,Monday,Afternoon,2010,28.4678664,77.0688866,Adventure & Outdoor Activities,5,0,0,2,5
303,Ambience Mall,Gurugram,Haryana,Northern,Mall,Shopping,Shopping,4.6,1.2,0,2.0,Yes,Yes,,Afternoon,Unknown,28.505504,77.095956,Shopping & Markets,0,0,0,0,7
304,DLF CyberHub,Gurugram,Haryana,Northern,Commercial Complex,Leisure,Entertainment,4.7,0.71,0,2.0,Yes,Yes,,Afternoon,Unknown,,,,0,0,0,2,5
305,Gurudwara Bangla Sahib,New Delhi,Delhi,Northern,Gurudwara,Religious,Religious,4.8,1.05,0,1.0,Yes,Yes,,All,Unknown,,,,0,5,0,0,0
306,Kedarnath,Kedarnath,Uttarakhand,Northern,Temple,Religious,Religious,4.8,2.0,0,1.5,No,No,,All,Unknown,30.7346267,79.0668943,Religious & Spiritual Pilgrimages,0,5,0,0,0
307,DLF Mall of India,Noida,Uttar Pradesh,Central,Mall,Shopping,Shopping,4.6,1.5,0,2.0,Yes,Yes,,All,2016,28.5673409,77.3211303,Shopping & Markets,0,0,0,0,7
308,The Grand Venice Mall,Greater Noida,Uttar Pradesh,Central,Mall,Shopping,Shopping,4.2,0.45,0,2.0,Yes,Yes,,All,Unknown,,,,0,0,0,0,7
309,Wonderla Amusement Park,Bengaluru,Karnataka,Southern,Amusement Park,Leisure,Entertainment,4.5,0.95,890,4.0,Yes,Yes,,All,2005,9.9330107,76.2989787,Adventure & Outdoor Activities,5,0,3,7,5
310,Nandankanan Zoological Park,Bhubaneswar,Odisha,Eastern,Zoo,Wildlife,Wildlife,4.4,0.81,50,3.0,Yes,Yes,Monday,Afternoon,1960,,,,3,0,7,0,0
311,Orion Mall,Bengaluru,Karnataka,Southern,Mall,Shopping,Shopping,4.5,1.8,0,2.0,Yes,Yes,,All,2012,,,,0,0,0,0,7
312,Inorbit Mall Cyberabad,Hyderabad,Telangana,Southern,Mall,Shopping,Shopping,4.5,1.2,0,2.0,Yes,Yes,,All,2004,,,,0,0,0,0,7
313,Jama Masjid,New Delhi,Delhi,Northern,Mosque,Heritage,Historical,4.5,0.49,0,1.0,Yes,Yes,,All,1656,28.6506792,77.2334421,Religious & Spiritual Pilgrimages,0,10,0,0,0
314,Buddh International Circuit,Greater Noida,Uttar Pradesh,Central,Race Track,Adventure,Sports,4.6,7.4,1500,2.0,Yes,Yes,Sunday,All,2011,,,,7,0,0,0,0
315,Phoenix Palassio,Lucknow,Uttar Pradesh,Central,Mall,Shopping,Shopping,4.6,0.35,0,2.0,Yes,Yes,,All,2020,,,,0,0,0,0,7
316,LuLu International Shopping Mall,Kochi,Kerala,Southern,Mall,Shopping,Shopping,4.6,1.9,0,3.0,Yes,Yes,,All,2013,10.0578407,77.0660813,Shopping & Markets,0,0,0,0,7
317,Rail Museum,New Delhi,Delhi,Northern,Museum,Culture,Cultural,4.4,0.24,50,2.0,Yes,Yes,Monday,Morning,1977,,,,0,7,0,0,0
318,Living Root Bridge,Cherrapunji,Meghalaya,North Eastern,Natural Feature,Nature,Nature,4.6,0.06,0,2.0,No,Yes,,Morning,Unknown,25.4670308,91.366216,Natural Landscapes & Wildlife,3,0,7,0,0
319,Akshardham,Gandhinagar,Gujarat,Western,Temple,Religious,Religious,4.6,0.18,0,3.0,Yes,No,Monday,All,1992,,,,0,5,0,0,0
320,Agra Fort,Agra,Uttar Pradesh,Central,Fort,Heritage,Historical,4.5,1.3,40,2.0,Yes,Yes,,Afternoon,1565,27.1795328,78.021112,Cultural & Heritage Sites,0,7,0,0,0
321,Madhya Pradesh Tribal Museum,Bhopal,Madhya Pradesh,Central,Museum,Culture,Cultural,4.7,0.15,10,2.0,Yes,Yes,Monday,All,2013,,,,0,7,0,0,0
322,Albert Hall Museum,Jaipur,Rajasthan,Northern,Museum,Heritage,Historical,4.5,0.63,200,2.0,Yes,Yes,,All,1887,,,,0,7,0,0,0
